name,code
Fresno,19
Harris,201
Kent,81
San Francisco,75
Jackson,57
Medina,103
Dauphin,43
Sacramento,67
Dallas,113
McLennan,309
Bucks,17
Polk,153
Cherokee,21
Linn,107
Litchfield,5
Minnehaha,99
Allegheny,3
Adams,1
York,133
Marion,97
Pulaski,119
Beaver,7
Rockingham,15
Blount,9
Providence,7
Travis,453
Ottawa,115
Pima,19
Bronx,5
Scott,163
Saint Clair,163
Orange,59
Cambria,21
Hartford,3
Wayne,163
Hampton City,650
Alexandria City,510
Laramie,21
Aroostook,3
Berks,11
McCracken,145
Erie,49
Honolulu,3
Union,127
Roanoke,161
Washington,125
Milwaukee,79
Ventura,111
St. Louis City,510
Meigs,121
Steuben,101
Cook,31
Jefferson,73
Maricopa,13
Multnomah,51
Washoe,31
Hillsborough,57
Cumberland,5
Philadelphia,101
New Haven,9
Santa Barbara,83
Clark,3
San Bernardino,71
Riverside,65
Lackawanna,69
Luzerne,79
Henderson,101
Monroe,55
Alameda,1
Santa Cruz,87
Denver,31
Humboldt,23
Baltimore,5
Kern,29
Montgomery,91
Queens,81
Jefferson,111
Sumner,191
Oklahoma,109
Tulsa,143
Hamilton,61
Henrico,87
East Baton Rouge,33
Wyandotte,209
BAJA CALIFORNIA NORTE,2
Bexar,29
Santa Clara,85
DeKalb,89
Cass,17
San Diego,73
Uintah,47
Contra Costa,13
Saint Louis,189
Wake,183
El Paso,141
Solano,95
Suffolk,103
Mecklenburg,119
Richland,79
Cuyahoga,35
Imperial,25
Fairbanks North Star ,90
Westmoreland,129
New Castle,3
Jefferson,51
Camden,7
Los Angeles,37
Uinta,41
Hillsborough,11
